Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1895,26.5,21.8,35,47.5,59.5,70.6,69.4,72.9,68.1,48.1,43.4,34.9,49.8
1896,26.5,30,32.2,51.4,64,67.1,73.7,72.1,63.5,50,46.3,29.5,50.5
1897,27.1,30.7,39.1,48.9,59.2,65,73.3,69.8,63.9,54.1,41.9,33.4,50.5
1898,31,31.2,43.8,46.2,57.7,68.9,74.2,73.3,66.9,54.6,40.2,31.3,51.6
1899,28.1,24,36.4,48.6,59.7,70.8,72.9,70.8,62.8,54.8,41.8,33.3,50.3
1900,29.9,28.8,33.6,49.3,59.4,69.4,74.5,75,68.1,58,45.3,31.7,51.9
1901,29.3,23.5,37.8,46.8,57.4,68.9,76.5,72.8,65.4,52.8,36.6,30.7,49.9
1902,26.9,25.9,42.4,48.9,59.3,66.7,72.2,69.1,63.5,54.5,47.5,30,50.6
1903,28.6,32.1,46.2,49.4,61.6,63.1,72.4,67.5,63.7,54.3,38,27.1,50.3
1904,21.6,23,35.5,45.5,61.9,67.6,71.4,69.6,63.5,50.2,38.5,25.6,47.8
1905,25.5,22,38.3,48.6,60.1,67.4,73.5,70,64.2,53.7,40,34.5,49.8
1906,34.7,29.2,33,50.1,60.4,69.8,72.3,73.8,67.5,53.2,41.7,31.8,51.5
1907,30.4,22,39.5,43.8,54.2,63.5,72.5,69.3,65.6,48.8,41.4,34.6,48.8
1908,29.8,26.5,40.5,50,60.7,68.8,74.7,69.8,64.4,55.9,41.4,32.6,51.3
1909,31.6,36.6,36.7,48.9,59.2,69,70.6,69.2,63,49.5,44.6,28,50.6
1910,28.3,29.3,43.2,52.2,58.7,65.9,74.1,69.3,65.9,55.4,38.2,24.9,50.5
1911,31.9,29.8,36.1,45.9,63.5,68,74.8,71.2,65.2,52.6,39.4,36.8,51.3
1912,20.8,26.3,35.7,49,60.8,67,72.5,69,64.9,55.6,43.5,35.4,50
1913,38.2,29.3,43.6,51,59.4,68.2,73.3,70.6,63.4,56.3,44.4,36,52.8
1914,30.3,24.4,33.6,47.2,61.9,67.7,70.6,72.3,62.7,56.6,41.4,29.3,49.8
1915,31.6,33.9,34.5,53.3,56.9,65.9,71.8,69.8,67.1,54.6,42,30.3,51
1916,33.7,26.7,30.4,47.3,60.8,63.9,73.4,72.3,63.9,53.7,41.6,30.5,49.9
1917,29.9,26.8,36.9,47.9,53.1,68,73.1,72.9,60.2,49.4,38,23.7,48.3
1918,18.7,27.8,40.6,48.7,64,65.5,71.3,73.4,60.9,55.9,42.2,36.2,50.4
1919,32.6,32.1,42.1,48.5,60.2,68.8,72.9,69,64.7,58.1,42.1,27.6,51.6
